window,train_start,train_end,test_start,test_end,sma_window,rsi_threshold,train_sharpe,strategy_return,strategy_sharpe,strategy_max_drawdown,strategy_exposure,benchmark_return,benchmark_sharpe,benchmark_max_drawdown
1,2020-01-03,2020-07-13,2020-07-14,2020-09-30,20,40,1.4169681781427916,0.15299873521599094,3.745672392703589,0.022196974785903323,0.125,0.21295593202586915,1.9890300886075631,0.20375614845729595
2,2020-03-17,2020-09-22,2020-09-23,2020-12-10,20,40,2.9502468083353244,0.03893431244118539,0.9111033779614676,0.03225947725294187,0.125,0.10222699221894094,1.2821358064594024,0.12564308681672065
3,2020-05-28,2020-12-02,2020-12-03,2021-02-24,10,40,2.9005780174383275,-0.055709871386903864,-1.771228808125281,0.08573620059640596,0.39285714285714285,0.0184432889177768,0.2874963643858647,0.12440625873148914
4,2020-08-07,2021-02-16,2021-02-17,2021-05-06,10,40,1.6989076001578232,0.020848869923108415,0.6227187568467887,0.042154162246172966,0.23214285714285715,-0.025902845558975485,-0.3769500375800853,0.11066952002445707
5,2020-10-19,2021-04-28,2021-04-29,2021-07-19,20,40,0.658663077355223,-0.002030442084252071,-0.5663722289305069,0.031361628245952455,0.19642857142857142,0.06640215601137944,1.26555693338418,0.08023673958645472
6,2020-12-30,2021-07-09,2021-07-12,2021-09-28,20,55,0.3526551959682643,-0.040949792535692864,-2.794509282837856,0.04526335111577284,0.10714285714285714,-0.022052236234581635,-0.575349083235387,0.09432637692258594
7,2021-03-15,2021-09-20,2021-09-21,2021-12-08,20,55,-1.4956164163372243,0.0017705847524582818,-0.20328462543074233,0.05195063248724319,0.14285714285714285,0.2248495872394023,4.096342895704813,0.0529539885652055
8,2021-05-25,2021-11-30,2021-12-01,2022-02-18,20,40,-2.7905457508471563,0.10559166444848023,3.8061286717430765,0.009117694373027896,0.16071428571428573,0.01209921355111887,0.19219180067135141,0.1252129003900886
9,2021-08-05,2022-02-10,2022-02-11,2022-05-03,20,40,-0.06459379650633208,0.03251476357228911,1.1047010389112295,0.036178657358239885,0.17857142857142858,-0.07343713688124587,-1.0817679406701202,0.12830603622894843
10,2021-10-15,2022-04-25,2022-04-26,2022-07-15,10,40,1.8624744125644752,0.07015080435572552,1.8826680586256592,0.0418141496014548,0.17857142857142858,-0.0780329076620827,-0.7593098962271855,0.21660040958920623
11,2021-12-28,2022-07-07,2022-07-08,2022-09-26,10,40,2.432853312616252,0.05980002165466636,1.757984944704124,0.0451685484808817,0.23214285714285715,0.03020157157499237,0.4658139289568602,0.13818390146089943
12,2022-03-10,2022-09-16,2022-09-19,2022-12-06,10,40,2.4572097594693165,0.037104111189743216,1.110717864464525,0.0305928402933765,0.125,-0.05169210351692122,-0.4590061223802065,0.14040790312300833
13,2022-05-20,2022-11-28,2022-11-29,2023-02-17,20,40,1.7736911832805264,0.06069657424569086,1.3644707507055573,0.03861783807881469,0.25,0.057758979337123595,0.8584482254531975,0.15703593823747586
14,2022-08-03,2023-02-09,2023-02-10,2023-05-02,20,40,1.4686157580339028,0.019123595041251384,0.8419564028774634,0.009872982982680245,0.125,0.1171206999403458,2.3216885665704887,0.06450782205626715
15,2022-10-13,2023-04-24,2023-04-25,2023-07-14,10,40,1.3805919755048055,-0.024241484006794045,-2.8893684499246444,0.031933725725047934,0.125,0.15339018931833204,3.543625568174006,0.030365520441305804
16,2022-12-23,2023-07-06,2023-07-07,2023-09-25,30,40,1.7940536586279379,0.054456922352309256,2.701991012538816,0.013174853237899575,0.14285714285714285,-0.0820082373181793,-1.8317171565542754,0.11463476711631437
17,2023-03-09,2023-09-15,2023-09-18,2023-12-05,10,50,2.12374378831655,0.012378971740359512,0.3816235928429882,0.008800528054234147,0.10714285714285714,0.10519398891491849,2.4649317677624327,0.07647612196336695
18,2023-05-19,2023-11-27,2023-11-28,2024-02-16,10,45,2.0879313783312745,0.01909740062403209,0.5367322607997396,0.02299388151550652,0.17857142857142858,-0.039411981663943774,-1.1452533034215535,0.08545757407500854
19,2023-08-02,2024-02-08,2024-02-09,2024-04-30,10,40,1.986249245438302,0.02272480362251783,0.8571923989454131,0.027342986390637924,0.14285714285714285,-0.09552888700085005,-2.176571284657364,0.12629070691024658
20,2023-10-12,2024-04-22,2024-04-23,2024-07-12,10,40,0.8406023961258063,-0.002490126499543943,-0.7850780530889784,0.0187724399167839,0.10714285714285714,0.39013506994693703,5.415422701844779,0.04236857894493917
21,2023-12-22,2024-07-03,2024-07-05,2024-09-23,10,40,0.6935199649571795,0.07411136009326014,2.6824863571227366,0.007424315146026594,0.14285714285714285,0.022207176709546417,0.3669008970478586,0.11749425091559518
22,2024-03-07,2024-09-13,2024-09-16,2024-11-27,10,40,1.2527736891906003,-0.00021198720970849738,-0.36355420597292,0.04168255339474003,0.24528301886792453,0.055865168539326104,1.1666359359900849,0.06118910690121815
