date,market_return,overlay_position,overlay_turnover,overlay_return,overlay_equity,core_return,core_equity,benchmark_equity
2024-01-02,-0.0357866306549629,-1.0,1.5,0.0350366306549629,1.035036630654963,-0.01789331532748145,0.9821066846725186,0.9642133693450371
2024-01-03,-0.0074876104287868,-1.0,0.0,0.0074876104287868,1.0427865817248314,-0.0037438052143934,0.978429868545351,0.9569937152651535
2024-01-04,-0.0127001356852103,0.5,1.5,-0.0071000678426051496,1.0353827262492268,-0.00635006784260515,0.9722167725008567,0.9448397652313926
2024-01-05,-0.0040129734484084,0.5,0.0,-0.0020064867242042,1.0333052445545374,-0.0020064867242042,0.9702660324537851,0.9410481483405185
2024-01-08,0.0241748537366155,0.5,0.0,0.01208742686830775,1.0457952461307294,0.01208742686830775,0.9819940521638734,0.9637978496857634
2024-01-09,-0.0022634188402673,0.5,0.0,-0.00113170942013365,1.0446117097991523,-0.00113170942013365,0.9808827202445243,0.9616163714745756
2024-01-10,0.0056713838176516,0.5,0.0,0.0028356919088258,1.0475739067724943,0.0028356919088258,0.9836642014378286,0.9670700670025454
2024-01-11,-0.0032225146355873,0.5,0.0,-0.00161125731779365,1.0458859956492774,-0.00161125731779365,0.9820792652950102,0.9639536695579913
2024-01-12,0.0017781130448837,0.5,0.0,0.00088905652244185,1.0468158474154399,0.00088905652244185,0.9829523892713755,0.9656676881524959
2024-01-16,-0.0123171256454388,0.5,0.0,-0.0061585628227194,1.0403689662553137,-0.0061585628227194,0.9768988152303056,0.9537734379057812
2024-01-17,-0.0051734466045852,-1.0,1.5,0.004423446604585201,1.0449709828266116,-0.0025867233022926,0.9743718483009673,0.948839141951904
2024-01-18,0.0325706152835558,0.5,1.5,0.0155353076417779,1.0612049285215541,0.0162853076417779,0.9902397936080364,0.9797434166103988
2024-01-19,0.0155330541271272,0.5,0.0,0.0077665270635636,1.069446805318904,0.0077665270635636,0.9979305177645108,0.9949618241313046
